hike_id,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
hike_1123,0.0,0.010064096525301547,0.059066880599867644,0.00014654799477656084,0.003188007620410775,0.002111602977495068,0.00030458489909233015,0.034607572579429036,0.05666573831358721,0.00635560565217149
hike_4,0.005940573736745908,0.03935300841261668,0.0571997813580851,0.0,0.0,0.0,0.0,0.0389744170664369,0.0,0.011291955926356912
hike_6,0.0,0.024475643334221246,0.010593137576761358,0.0035705844871942293,0.003720702900488891,0.08027845868187639,0.0005409413070961459,0.04629914560631054,0.004474709075834511,0.016222120444019668
hike_7,0.003894201424008098,0.04744391286591372,0.052625166087475056,0.0,0.00027686027648244195,0.006967547874939437,0.0,0.00689225340012049,0.0,0.010287262437910406
hike_8,0.0,0.06853160374483108,0.062375418621571956,0.0023706726379378418,0.0,0.0,0.0,0.003572178699907332,0.0,0.006172084362286215
hike_9,0.002249879734403043,0.029556480215629313,0.0417832995003735,0.0007914104635028358,0.0,0.0,0.0,0.030940265279140178,0.021810462399669446,4.9062346189949285e-05
hike_11,0.04437540776792194,0.01807019532559832,0.0,0.0,0.0,0.0825167935348707,0.0,0.028425427941121913,0.0,0.004619022225394482
hike_1,0.0,0.06189690964741474,0.0,0.0016427738526050548,0.0,0.062208598062892015,0.0,0.012851989027623826,0.003652574261743447,0.006522759227729589
hike_2,0.004223643762659274,0.02265095353509558,0.017197799108041263,0.0,0.0,0.0,0.0,0.048210111256563264,0.00782626799027966,0.0
hike_3,0.03711976885391451,0.0,0.0,0.07811601539615357,0.0,0.07064967407999136,0.0001197638953548183,0.020004713688577567,0.0,0.0
hike_1124,0.046285562838223986,0.0,0.08593831586240362,0.004344185029707933,0.0,0.0,0.0,0.040953130228455994,0.0,0.005008665361784104
hike_15,0.0,0.08555461977522082,0.010007339520120574,0.0,0.0,0.0694806915840038,0.0,0.0015732820062555814,0.0,0.00895149008006092
hike_17,0.003608251791835856,0.01150914546479307,0.05100656586749207,0.0,0.0,0.0,0.0,0.07824984712882409,0.004357507936663633,0.0
hike_18,0.05364003513362184,0.005007053111164997,0.10503888829804432,0.001371016622575895,0.0,0.0,0.0,0.0,0.0,0.014657085762828032
hike_19,0.05312174707292482,0.014044769427749926,0.015155555330028277,0.0010593376482700232,0.0,0.09979180295441165,0.0,0.0,0.0,0.012888603540975895
hike_20,0.042844288388117484,0.019287062285141886,0.06570180438588269,0.0,0.0,0.0,0.0,0.0,0.0,0.012317028507375472
hike_21,0.047886877083539225,0.021129013486960623,0.0,0.0019689082110424545,0.0,0.08064623713300809,0.0,0.00421362135966694,0.0,0.011098110924483519
hike_22,0.004452657002993505,0.07911994045711662,0.0,0.0,0.0,0.010571006864404422,0.0,0.06332052982977865,0.0,0.0
hike_23,0.0001944710439118074,0.047272927371707,0.013831576899044781,0.0005398389821933408,0.0,0.05759852385789352,0.0,0.0,0.021224732610064086,0.009547028938549158
hike_13,8.218024786403174e-05,0.062403030181877435,0.06690071749239587,0.0,0.0,0.00048482434231146977,0.0,0.0,0.02207284499199295,0.01378130715729586
hike_14,0.0,0.04550626437652608,0.005000414651163402,0.00239313878733108,0.0031189297115630575,0.05829841267292459,0.0006183508406976827,0.008648805102830222,0.0,0.007697368483929818
hike_1002,0.02872615628326414,0.0,0.05305390359302015,0.004006053667689852,0.002425347105455636,0.0020364107070007555,0.0022340052657779967,0.04506585889111671,0.0,0.0016929878997526773
hike_1730,0.0013208980051565467,0.028972157233521232,0.0,0.0,0.0,0.0,0.07048520853002556,0.006825927739794215,0.010837236816337338,0.029173615152705192
hike_28,0.0,0.06858067266750006,0.0,0.0,0.0,0.05948102505560126,0.0,0.0,0.00928902882807289,0.0660329382917267
hike_29,0.050311189145307605,0.010964627652704447,0.04809117430372236,0.0,0.0,0.0,0.0,0.0,0.0,0.0639505789523997
hike_30,0.0,0.06742681962742872,0.06165903893115068,0.0009138426867956728,0.0,0.0,0.0,0.0034022649103883965,0.015659278550800633,0.010663970088305812
hike_31,0.0,0.049128485710153075,0.0028870577242237462,0.00017407747978595616,0.0,0.04703475927698775,0.0,0.0006126530449733223,0.0,0.007445614070507243
hike_32,0.04979280743583857,0.011061904241993053,0.0,0.09163907837220325,0.00010587206837275481,0.09525609596824726,0.0008537306312324681,0.0,0.0,0.0
hike_33,0.04291203481020583,0.002478578778200786,0.07013640724738238,0.07308435856587134,0.0,0.0,0.0,0.0,0.0,0.0
hike_34,0.0,0.029387979790717,0.0031471725995630482,0.001286588391134262,0.0026981926629409017,0.06265721664254266,0.000838253968355086,0.03965259551353197,0.005126563874697506,0.000880979326801395
hike_25,0.0,0.061160300001541774,0.008331907286492296,0.00047407051542898025,0.0,0.05639453598444752,0.0,0.0032980627545510103,0.0,0.005857564452340317
hike_26,0.004047640735056042,0.0309053943472086,0.038475036453532056,0.0,0.0,0.0,0.0,0.039596933605631705,0.002815101941159662,0.0
hike_1003,0.0030653492555142033,0.02815023634919756,0.05179243269506142,0.0007392016406756975,0.003050178422331441,0.0006459194311516442,3.54163052518787e-05,0.017726161889608884,0.0011423152915784657,0.0014138399652680184
hike_39,0.0294771189136788,0.0,0.027416675476550578,0.0013812108218478865,0.0028172775046797177,0.013931541652029115,0.0025033746417286165,0.01817878051034102,0.0,0.01396747130387476
hike_40,0.044502030044069066,0.0,0.02875180210458531,0.0,0.0,0.0,0.0,0.0035653604680042747,0.0,0.06112496653860773
hike_42,0.0,0.025681498190220628,0.0625761450888077,0.0,0.0,0.0,0.0,0.0,0.06252649158315292,0.07063158524888143
hike_43,0.0,0.02572559302678504,0.0,0.0,0.0,0.0417058557085027,0.0,0.0,0.04656673132044882,0.05296496891718365
